Date,Event,Description
"May 24, 1918",G.B. Gordon writes to Reisner that he has waited more than four months for the statement that Reisner has promised him and has not received it.,"Mentions that he has a copy of Fisher’s diary on file. He does his best to settle he matter without all the information. This letter was sent in triplicate, most likely because of the difficulty of getting mail through during the war."
"June 20, 1918",G.B. Gordon writes to Reisner his resolution of the conflict with Fisher.,"Reisner sent a copy of his January 9th letter on March 21st because his original was lost at sea. The March 21st letter was “soaked in the sea.” Gordon assumes the mail bag with this letter was rescued from a torpedoed ship. It was still legible. Reisner also sent the same letter under separate cover that arrived 10 days later without harm.
 Gordon finds that Mahmud was dismissed legitimately but that they hold him blameless for the conduct of Mahmud. He says it “might be difficult for any newcomer to organize a gang without running the risk of employing someone whom you had at some time dismissed.” He also states, “In demanding of you the dismissal of Reis Mahmud, Mr. Fisher was therefore clearly wrong.”
  “I can see nothing to stand in the way of friendly relations.”"
"June 24, 1918","Reisner writes to Fisher a very polite letter that has nothing to do with their conflict. There will be no more letters on the subject, at least in this file.","Reisner writes from Harvard Camp at the Pyramids. He says, “your note of June 22 has just arrived.”
 This letter starts a discussion of the possibility of Fisher recovering for Reisner some objects that had been stolen."
"June 27, 1918",Fisher to Reisner with details of the whereabouts of he stolen property.,Fisher writes from Mit-Rahineh. The missing statue and stele are in the hands of the dealer Tano. The information was supplied to Fisher by an Englishman on the condition that Tano not be prosecuted. They can be bought back for £120.
"June 29, 1918",Reisner writes to Fisher and asks him to buy back the pieces.,Reisner writes from Harvard camp. He thinks that if he handles the purchase it “might frighten the holders of the stele and cause delay.” He says the statue belongs to the Eckley Coxe expedition and the stele to the Department of Antiquities. It is not clear why Reisner feels responsible for the recovery and why he is paying for their return.
"June 29, 1918",Fisher to Reisner agreeing to try to secure the two pieces.,Fisher writes from Mit-Rahineh. He asks Reisner for a “rough description of your piece…”
"July 1, 1918",Reisner to Fisher with a description of the stele.,"Reisner writes from Harvard Camp, Pyramids. Suggests threatening Tano with prosecution in a subtle way if he “behaves badly.”"
"July 2, 1918",Fisher to Reisner with more details about how the missing objects were spotted.,"Fisher from Mit-Raheineh. Lansing spotted the little statue in Tano’s shop. Mr. Carter (I assume, Howard) two moths ago said he new exactly where it was and would get back to Fisher. Carter said Tano had it along with them stele and would not sell them except together. Carter was the one who did not want Tano prosecuted because he did a lot of business with him. Fisher plans to ask Carter to reconsider."
"July 4, 1918",Reisner to Fisher that it may be a bad idea to prosecute Tano and he explains why.,"Reisner fro Harvard Camp, Pyramids. “I am willing, if necessary, to go to the length of paying the £120 to a man who appears to have been an innocent purchaser (i.e., as far as any dealer is ever an innocent purchaser).”"
"July 4, 1918",Fisher to Reisner that Carter insists upon the original terms.,"Writing from Mit-Rahineh, Badrashein."
"July 25, 1918",Reisner to Fisher asking for progress in the buy back of the stolen antiquities.,Reisner writes from Harvard camp.
"July 25, 1918",Fisher to Reisner that he is having trouble getting the objects back because Tano is away and seems to be afraid of the whole thing.,Fisher writes from the dahabiyeh “Hapi.” Fisher wants to get the whole thing settled because “I hope to have some war work to do which will take me out of Egypt temporarily.”
"October 14, 1918",Fisher to Reisner expecting to have the matter of the stolen antiquities settled in a few days.,Fisher writes from Cairo. “At the end of this month I expect to go up to Jerusalem in connection with the new school building there and also to look over the archaeological field. …another university has requested me to organize an expedition for them.”
"October 14, 1918",Reisner to Fisher with instructions on where to send the stone and when he can pay Fisher.,"Reisner writes from Harvard Camp, Pyramids. He says he is short of money but expecting a new letter of credit this month."
"October 28, 1918",Fisher to Reisner that he is sending “the three stones belonging to you.”,Fisher writes from Cairo.
"October 30, 1918",Reisner sends £100 for the payment to Tano and says the stones arrived all right.,"Reisner writes from Harvard Camp, Pyramids. He says he hopes to have “a division with M. Lacau and to be in a position to deliver the rest of the material to your charge.”"
"November 4, 1918",Fisher writes to Reisner thanking him for the money.,"Fisher writes from Badrashein. He says, “We are now down at Memphis again and I may not go up to Jerusalem until the spring.”"
"November 16, 1918",Fisher to Reisner that Tano has sent a bill of £155 instead of the original £120 agreed upon..,Fisher writes from Badrashein.
"November 16, 1918",Fisher to Reisner explaining why Tano feels he is owed more money.,Fisher writes from Badrashein. The details of the money problem are explained but unclear.
"December 20, 1918",Reisner to Fisher sending £20 more because he remembers now that is what he agreed to pay. Discusses the problems with the division with M. Lacau.,"Reisner writes from Harvard Camp, Pyramids. Tano’s borrowing problems are his own and Reisner is not obligated to pay any more than the agreed upon price. “The price in any case is perfectly ridiculous.”
 Reisner has not been able to complete the agreement with M. Lacau “either for my own things or for yours.” Lacau plans to keep the offering bowl. The delay won’t matter because nothing can be shipped until next summer.
 “I am leaving next week for the Sudan and will return in April.”"
"December 22, 1918",Fisher to Reisner that he has no record of any agreement with the Service.,"Fisher writes from Badrashein. He writes about the records from his dig in Reisner’s concession and his interaction with the M. Lacau and Mr. Daressy on the subject of the division.
 “I may have to return to America myself as soon as shipping is available.” “I shall be at Mit-Rahaneh until the middle of February when I expect to go to Jerusalem for a meeting…”"
"February 26, 1919",Fisher to Reisner asking if he would like to join with the Metropolitan and the U of P expedition “in shipping off our antiquities.”,Fisher writes care of the American Red Cross Jerusalem. His trip to Palestine is successful and he plans to return to America and London for conferences.
"March 8, 1919",British Deportation of Egyptian Nationalists,“The British government deported Saad Zaghlul Pasha and other Egyptian nationalist leaders to Malta to prevent their participation in the Paris Peace Conference. The Nationalist (Wafd) Party grew tremendously during World War I in response to British policies such as forced labor conscription and materials requisitions. The Wafd demanded independence for Egypt from British rule but the British had a vested interest in the state. The deportation of these Wafd leaders resulted in a national insurrection which the British army had to suppress.”
1919,Egyptian Insurrection,See description of insurrection at this web site
"April 4, 1919",Fisher to Reisner that his museum wishes him to stay in Egypt until conditions are easier.,"Fisher writes from Cairo. He says he received Reisner’s letter of March 19th. He presumes that Reisner was not affected by the recent uprisings in Egypt. He understands that Reisner’s house at they pyramids was unmolested. His dig at Mit-Raineh was undisturbed thanks to guards and the instruction of the Imam of the Mosque to respect them and their property as they were guests of the village. He is not yet allowed to return to Memphis.
 Sanborn has been in Jerusalem since September and acting as the Executive Secretary of the American Red Cross.
 Fisher discussed “the new antiquity law” at his conferences and claims it is almost word for word what he had proposed."
"May 1, 1919",Fisher writes to Reisner wondering if he has returned to Cairo or if he is still in the Sudan. Offers to look out for Reisner expedition at the Pyramids if Reisner is still in the Sudan because if the uprising.,"Fisher writes from Alexandria to Reisner care of Congdon & Co., Cairo. He reports that everything at Reisner’s Harvard Camp is all right. Fisher returned to Cairo from Jerusalem on March 24th. He could not get back to Memphis and had to wait it out at Ramleh. Plans to return to America this year and mentions that Gordon is coming to Egypt in a week or two. Plans to ship antiquities are delayed.
 There is now regular steamboat service on the Nile as far as Luxor."
"June 28, 1919","Treaty of Versailles, chief among 5 peace treaties to end World War 1, was signed.","“…the U.S. Senate refused to ratify the treaty, and the United States merely declared the war with Germany at an end in 1921.”"
"July 3, 1919",Fisher to Reisner asking for the artistic services of Mr. Kemp.,"Fisher writes from Memphis. Evidently Mr. Sanborn has recently visited Reisner. Fisher wants Kemp to make scale watercolor drawings of the offering-room of the Sneferu-Hotep mastaba that Fisher dug up for the U. of P. with permission of Reisner. He had hoped to have Mr. Carter do it, but he was too busy."
"July 6, 1919",Reisner to Fisher saying Mr. Kemp can do it(tomb G 300 B) but not until late summer.,"Reisner writes from Harvard Camp, Pyramids. Kemp costs the expedition £24 pounds a month."
"July 9, 1919",Fisher to Reisner asking about settling up the division with Lacau before Lacau goes on a three-month vacation.,Fisher writes from Memphis. Badrashein. Dr. Gordon will arrive at the end of the month for a short time and then he and Fisher will go on a trip together not returning before October. Hopes to settle the shipping arrangements.
"July 10, 1919",Reisner to Fisher about the division with M. Lacau. He won’t budge from the temporary division and that the offering stone must be kept by the Cairo Museum.,"Reisner writes from Harvard Camp, Pyramids. Offers to finish the division with M. Lacau for him or of transferring authority to Fisher to do it."
"July 25, 1919",Reisner to Fisher that the division is done.,"Reisner writes from Harvard Camp, Pyramids."
"July 28, 1919",Fisher invites Reisner to lunch with Dr. Gordon,Fisher writes from the Grand Continental Hotel in Cairo. Introduces the bearer of the message as his new assistant Alexander. In a P.S. he mentions having run into Lacau “so he is still here.”
"July 28, 1919",Reisner to Fisher that he would be happy to see Dr. Gordon.,"Reisner writes from Harvard Camp, Pyramids. Interestingly, on the back of this positive note about seeing Dr. Gordon is a crossed out negative version in which he says he is too busy to go to lunch but he could do it tomorrow. He also complains about giving up the three hours for the trip. Politeness won out over convenience."
"September 14, 1919",Reisner writes to Gordon thanks for the invitation to visit in Cairo but because of the tram strike he won’t be able to come.,"Reisner writes from Harvard Camp, Pyramids. Reisner is busy on his Kerma publication. He says, “Mrs. Bates has undertaken to publish [it] for her husband.” He states that he has gotten the concession for the Meroe pyramids and that Dows Dunham has made up his mind to join the expedition permanently. “…he is the right sort.” Hopes Mr. Fisher is all right as Sanborn said he was ill with a sore throat. Kemp not done with the drawings."
"October 26, 1919",Fisher to Reisner sending approval of the suggested correspondence course in hieroglyphics Reisner would give to Sanborn.,"Not clear where Fisher is writing from. Mentions that he will be supervising the work in three different places. Hopes to get the help of grad students,"
"November 6, 1919",Fisher to Reisner about removing the antiquities from his 1915 dig.,Fisher writes from Badreshein.
"November 6, 1919","Reisner to Fisher asking him to proof his , Fisher’s chapters in the Samaria publication.","Reisner writes from Harvard Camp, Pyramids. He says the whole publication thing has been held up because of the war. Talks about Sanborn being “a good man” and his correspondence course."
"November 24, 1919",Reisner asks Fisher to send his own men to pick up the antiquities.,"Reisner writes from Harvard Camp, Pyramids. “I trust you are properly disgusted with the way our politicians are behaving over the Peace Treaty. A shameful business.”"
"Nov. 30, 1919",Breasted visits Fisher at his camp.,Description by Breasted of staying with Fisher and his work at Bedrashein.
"December 10, 1919",Fisher to Reisner asking for Reisner’s corpus of pottery shapes.,Fisher writes from Memphis. He mentions Professor Breasted having asked him “to give them my scheme for the corpus [of architectural material] and suggests that I take up the architectural portion and also the pottery.…”
"December 19, 1919",Telegram from Fisher to Reisner about packing Fisher’s antiquities.,From Badreshein. “Will arrange send Sanborn Monday Tuesday to supervise packing if satisfactory Fisher”
"December 24, 1919",Reisner to Fisher saying no to the sending of the pottery drawings and expressing concerns for Fisher’s health.,"Reisner writes from Harvard Camp, Pyramids. Reisner says he plans to be at the University during 1920-21 at least for the first half year. Mentions that Fisher did not want Sanborn to accept Reisner’s hospitality during his packing and that a fearful storm delayed his work."
"December 25, 1919",Fisher writes to Reisner that he plans to get home for a few months in the spring and that he has secured the site of Beisan.,From Memphis. He also plans to resume work at Nippur as soon as conditions permit.
"May 10, 1922","Fisher writes to Reisner asking for a copy of, or if not published yet, a set of proofs of his book on Samaria.","Fisher writes from “Excavations Camp Beisan” in Palestine.
 Note: Beisan later became know as Bethshean."
"May 18, 1922",Reisner writes to Fisher that he thinks the book will be out in the fall.,"Reisner writes from Harvard Camp, Pyramids. As soon as he has cleared away the work from Begarawiyah he will find a copy of the Samaria stuff and send it to Fisher. Mentions that he heard Fisher found a good man, an Australian."
"June 29, 1922",Fisher to Reisner that he his having difficulty keeping up with the drawings for the excavations at Beisan and asking Reisner to lend him Bedawi for the purpose.,Fisher writes from “Excavations Camp Beisan” in Palestine. Mentions Rowe is doing well on the Egyptian stele. It “is either of Seti or Rameses II and commemorates his victory over the tribes of the valley from Beisan to Megiddo.
"July 4, 1922",Reisner to Fisher that he cannot spare Bedawi.,"From Harvard Camp Pyramids. Reisner suggests, that to solve his problem, Fisher adopt the technique of the “Arabic Diary” wherein the head reis tells a scribe what to write about the days work at the end of everyday. He gives details about how this would work and suggest having Berberi or Labib try it."
"October 30, 1922",Fisher sends telegram to Reisner asking him to meet to discuss “new laws.”,The office of origin of the telegram is Bedreshein. “Am leaving for Luxor Tuesday night could you arrange lunch with me Tuesday Continental and discuss cooperation regarding new laws reply not necessary Fisher?
"November 24, 1922",Fisher to Reisner that he was sorry to have missed him at lunch.,Fisher writes from Luxor. He explains that Mr. Greenlees said that Reisner said that some co-operation to protest the new laws regarding the division of antiquities should be arranged and also that Reisner would like Fisher to arrange a reconciliation with Lythgoe. He mentions that Breasted will take Megiddo.
"November 27, 1922","Reisner to Fisher explaining that he had only wanted Fisher to approach Lythgoe about the new regulations., “not on my behalf personally.”","Harvard Camp, Pyramids. Reisner says that if Fisher intends to credit him with the translations of Fisher’s writings on the Giza Inscriptions then he must correct the proofs because he had only done a rough translation for Fisher and it contains many inaccuracies. He advises Fisher to let Rowe do the translations and get the credit.
 Mentions that he has a conversation with Mrs. Fisher and Fisher’s sister after a lecture at Philadelphia last winter."
"August 23, 1923",Fisher to Reisner asking if Dunham is leaving Reisner and would Dunham like to “take over the Egyptian end of our work.”,"Fisher headlines the letter from Cairo, but signs it with Badrashein. Mentions a needy Mrs. Janssen, obviously a mutual acquaintance, who was written about to him by a Mrs. Spofford of the American Colony in Jerusalem (see:vhttp://www.smithsonianmag.si.edu/smithsonian/issues97/mar97/colony.html)
 Fisher also mentions that he “will have his hands too full carrying on continuously three digs year after year without a rest between them.”"
"August 24, 1923",Reisner to Fisher that Dunham has plans and would probably not consider them this year.,"Writes from Harvard Camp, Pyramids. Mentions that Dunham has already turned down an offer from the E.E.F. and that he intends to maintain his connection with the Boston Museum.
 Reisner says that “Kerma is out but I have not yet received a copy. “The Mycerinus Temples” goes to Boston in a few days. I am sorry not to have had your chapter on “materials and Construction” to add to the mss.”"
1925,Fisher resigns from the University of Pennsylvania Expedition,
1925,Clarence Fisher was hired in 1925 by James Henry Breasted to be the first field director of the Megiddo Expedition.,See footnote 2.
1925,Fisher is working for the Oriental Institute at Megiddo.,"“In 1925, excavations at Megiddo were renewed by the Oriental Institute of the University of Chicago. This large-scale undertaking, directed successively by Clarence Fisher, P.L.O. Guy and Gordon Loud, continued until the outbreak of World War II in 1939.”
 Note: There is a picture next to this text on this site that looks similar to a Reisner expedition photo. It looks like Fisher sitting center."
"March 28, 1926","Fisher to Reisner. A letter of introduction for his nephew in which he mentions, “Perhaps you could let them also have a peep at the new tomb.”",Fisher writes from Megiddo. Plans to start work April 15th. “We have the most wonderful house and equipment and I wish you and the family could come up to see us.”
"November 14, 1928",Fisher to Reisner thanking him for his kind letter.,Fisher writes from Ramallah. Fisher gives details about what he has been working on. His post as Professor in Archaeology at the Jerusalem school will be eliminated when the school is absorbed by the Oriental Institute. He hopes to become involved with new expeditions. He may visit the Pyramids at Christmas time.
"April 12, 1929",Fisher to Reisner confidentially asking about getting work at Samaria or in Egypt.,Fisher writes from Ramallah.
"April 29, 1929",Reisner to Fisher about the Lake-Blake proposals and the plan to include Fisher as Crowfoot’s assistant. Reisner is very interested in having Fisher join him again in Egypt.,"Reisner writes from Harvard Camp, Pyramids. He expects to return to Boston for the first half year 1929-1930. “Lt. Comm. Wheeler is expecting to remain in Egypt this summer.”"
"June 10, 1929",Fisher to Reisner that he would “like to link up again with you.”,"Fisher writes from Ramallah. Could Reisner use him during the winter season? He has another job with a Dr. Grant for work at Ain Shems but is not sure about how long or about salary. Doesn’t want to work in Samaria if it is a wholly British expedition. “You may know my views on that point, and how I left Penn because I demanded a chance for our own American boys.”
 Fisher is angry with Dr. Badé because Fisher feels he taught hem everything and corrected his errors only to have Badé claim credit."
"December 10, 1929",Fisher to Reisner hoping for a permanent post.,Fisher writes from Ramallah. Refers to a letter sent by Reisner “in regard to future prospects.” He has “no income at present” and hopes that he shall “never have to depend upon the uncertainties of two or three months work here and there.”
"March 6, 1930",Fisher to Reisner asking if he has decided about future work in which he might have a share.,"Fisher writes from Ramallah. The American School has proposed a position at $3000 per year, but it seems to be not enough."
"April 4, 1930",Fisher to Reisner commiserating on the problem of assistants.,Fisher writes from Ramallah. Refers to a letter “of April 2nd” sent by Reisner. Mentions that Mr. Stewart complained about a money problem with Reisner while visiting Fisher and Crowfoot. Fisher explains the “difficulty” as having to work with mixed nationalities. He is broke and will have to sell some of his books. He plans to take sole charge of the Yale dig at Jerash this summer.
"April 22, 1930",Fisher to Reisner asking to borrow money.,Fisher writes from Ramallah. He is in a “bad hole” financially due to the failure of several expeditions and an invasion of locusts. The government has taken away all the local workers to fight the locusts. “It is the first time in my life that I have been in such a position and I feel pretty badly after all these years of service to be forced to ask others for financial assistance.”
"May 7, 1931","Fisher to Reisner, still having difficulties with money and still letting it be known that he would like a permanent position.","Fisher writes from Jerash on stationery from the American School of Oriental Research Jerusalem, Palestine. He is again working on Jerash. Complains about the expense of the expedition and how under funded it is.
 “I shall be glad of your advice and suggestions.”"
"September 18, 1931","Fisher writes to Reisner asking if Reisner has given any more thought to “having me return to the fold in Egypt.""","Fisher writes from Jerash on stationery from the American School of Oriental Research Jerusalem, Palestine. He will be engaged until the end of June. He has the post of Professor of Archaeology in the two schools at Jerusalem and Baghdad."
"September 22, 1931",Reisner to Fisher that Fisher might be able to replace Wheeler if Wheeler takes the dead Firth’s place in the staff of the Service.,"Reisner writes from the Pyramids. The matter is still unsettled and nothing will be done until November..
 Reisner mentions specific, positive changes and enlargements to the layout of the camp."
"January 26, 1932",Fisher to Reisner asking if he had been “able to reach any conclusion as to my coming to Egypt with you?”,"Fisher writes on stationery labeled Excavations of Princeton University Antioch, Syria. His job with this expedition ends on July 15th. The American School will expect him to finish the season at Jerash.
 Complains that “Chicago seems to have all the money these days” and they are spending too much money on luxuries and not enough on equipment. Pennsylvania has to postpone all its excavations due to lack of funds."
"May 11, 1932",Fisher to Reisner “wondering why I have not heard from you in such a long time.”,Fisher writes from Antioch. Successful discoveries in Antioch which he describes. Finishing the season at Jerash next and plans for the future are unknown because “the terrible situation in America may upset every scheme for work.” Mentions again that Penn is out of money.
"August 16, 1932",Fisher to Reisner asking if it is possible to “arrange for me on the half year basis for the next few years until you are in a better position to maintain me on a full year basis?”,"Fisher writes from Ramallah. Perhaps from a previous letter from Reisner, Fisher is under the impression that Reisner is not at present in a position to finance a larger scheme. He plans to visit Egypt , “perhaps around Christmas time.” Wants to talk things over with Reisner."
"January 28, 1933",Fisher to Reisner about not having had any word from Reisner. “I am very anxious to know what will happen after the end of July.”,"Fisher writes on stationery from the American School of Oriental Research Jerusalem, Palestine. Princeton has asked for him from April to July. “Please let me know how the matter stands.”"
"February 5, 1933","Joseph Lindon Smith writes to Fisher that Reisner has been ill and that he, Smith, will take his place as head of the expedition.","Smith writes from Harvard Camp, Pyramids. Reisner had detached retina and had to have a second surgery on his eye on January 24th. Smith goes back to Boston on the 10th of this month. Acknowledges that Reisner does want tot have Fisher’s services part time. Smith hopes Fisher can wait."
"February 14, 1933",Fisher to Smith saying he will be available after the end of July.,"Fisher writes on stationery from the American School of Oriental Research Jerusalem, Palestine."
"March 4, 1933",Roosevelt takes office during the American economic depression.,Read here to understand Reisner’s reference to Roosevelt’s trying improve the economy.
"December 17, 1933",Reisner to Fisher that due to financial problems he won’t be able to take on Fisher.,"Reisner writes from Pyramids Post Office, Cairo. He has been busy with publications. He says he has deeply desired to have Fisher’s help for a number of years.. Wheeler left the expedition on August 31st. Complains about what Roosevelt is doing to the economy, coming off the gold standard, paper inflation, and the world financial situation. Says they are suspending excavations and reducing expenditures. He hopes that someday he will be able to hire Fisher. Mrs. Reisner is recovering from a back injury from an automobile ride to Dahshur and Mary is “publishing the Barkal inscriptions.” He hopes Fisher will get work with the other expeditions and that Allan Rowe is the only one who has suspended operations."
"December 20, 1933",Fisher to Reisner asking again about rejoining Reisner in Egypt.,"Fisher writes on stationery from the American School of Oriental Research Jerusalem, Palestine."
"April 25, 1934",Fisher to Reisner “my whole nervous system is completely gone bust and I am as weak and nervous as a cat.”,"Fisher writes on stationery from the American School of Oriental Research Jerusalem, Palestine. The doctor has ordered him a complete rest for four to six months and he will be going to America around May 15th. “It has been one expedition after another with never a thought that I might be human.”
 “I shall always remember you and your continued kindness…”"
"April 30, 1934","Reisner to Fisher that he had a similar problem “the winter before last after the second operation on my eye, but I am happy to say that I have pulled out of it physically and mentally.”","Reisner writes from Harvard Camp, Pyramids. Writes about financial difficulties “which have been increased by President Roosevelt’s efforts to improve the situation.” Working on Publication, but only doing small clearances for recording purposes. Just sent a off a book, Development of the Egyptian Tomb Down to Accession of Cheops. It will be an intro to The Giza Mastabas. The History of the Giza Necropolis is in final revision. Wishes he could have had Fisher’s assistance with the descriptions and that he could have arranged for Fisher to publish a volume on the excavations of Zawiet-el-Aryan. Asks Fisher if remembers anything about a missing map.
 Tells Fisher of a rumor that had been going around that Fisher had been killed in Southern Mesopotamia..
 Note: It seems to me that of all the letters Reisner has ever written to Fisher, this one is the most illustrative of the sort of man Dr. Reisner really was. It is the most kind, inclusive, and reassuring letter, absolutely without condescension, that one colleague could write to another during a time of mental breakdown. Reisner must have had a very good heart to embrace a troubled man like Fisher so generously after all that Fisher had put him through."
"January 24, 1936",Fisher to Reisner once again looking for work.,"Fisher writes on stationery from the American School of Oriental Research Jerusalem, Palestine. He has just received word that their will be insufficient funds to keep him on at the school after the end of June. He is broke again and selling his books and furniture. “Please let me hear from you.” There is a note in red pencil that this letter was answered on January 27th, 1936."
1937,Fisher is “excavation architect” for a dig at Khirbet-et Tannur in Transjordon.,"Nelson Glueck, director of the American School of Oriental Research (ASOR) in Jerusalem, now known as the Albright Institute of Archaeological Research, conducted a dig at Khirbet-et Tannur for 7 weeks. The documentation from this dig is in the ASOR Nelson Glueck Archive at the Semitic Museum. It might be worth speaking to the author of the article, Judith McKenzie from Oxford University, about the archive and if it contains any personal information about Fisher."
"July 20, 1941",Clarence Fisher died.,This is the correct death date (-Joel Hoff).
